folder_name	RGID	RGLB	RGPU	RGPL	RGDS	RGSM
df786024-5ce5-4626-b76c-32ec025219c1	SRR10340987	SRR10340987_LB	SRR10340987_PU	ILLUMINA	10x3v2	HNSCC_22
272ac988-38b7-4458-bca8-9ea678857d0f	SRR10340997	SRR10340997_LB	SRR10340997_PU	ILLUMINA	10x3v2	HD_1
d177f586-e530-4478-8152-0715b607159b	SRR10340963	SRR10340963_LB	SRR10340963_PU	ILLUMINA	10x3v2	HNSCC_10
4cdb5db7-4c11-474d-9230-3134e477fdc1	SRR10340999	SRR10340999_LB	SRR10340999_PU	ILLUMINA	10x3v2	HD_3
0364be26-af0c-4ebe-ab9a-a75b8ea26165	SRR10340970	SRR10340970_LB	SRR10340970_PU	ILLUMINA	10x3v2	HNSCC_13
c9355fd8-b271-40fa-9486-ae0f9cb2ecfa	SRR10341002	SRR10341002_LB	SRR10341002_PU	ILLUMINA	10x3v2	HD_6
4af1b227-eacd-4617-bbce-d080330ad46d	SRR10340983	SRR10340983_LB	SRR10340983_PU	ILLUMINA	10x3v2	HNSCC_20
2daee4aa-8f3a-4287-b893-114e8bb14bad	SRR10340979	SRR10340979_LB	SRR10340979_PU	ILLUMINA	10x3v2	HNSCC_18
851c99a2-7d95-4d96-aaeb-00e3113a1639	SRR10340992	SRR10340992_LB	SRR10340992_PU	ILLUMINA	10x3v2	HNSCC_24
5ac028ad-9168-495d-9e2e-ce9215d4d8bc	SRR10340975	SRR10340975_LB	SRR10340975_PU	ILLUMINA	10x3v2	HNSCC_16
e7177d7c-162b-4747-8781-177788f2ee41	SRR10340968	SRR10340968_LB	SRR10340968_PU	ILLUMINA	10x3v2	HNSCC_12
7a1e2336-2a4e-4f64-9d19-4e7b3cef685f	SRR10340994	SRR10340994_LB	SRR10340994_PU	ILLUMINA	10x3v2	HNSCC_25
9f847f33-d7f4-4946-ab9f-e6a20bdea870	SRR10340947	SRR10340947_LB	SRR10340947_PU	ILLUMINA	10x3v2	HNSCC_2
1eebb742-569c-4416-a4ed-a18779d5a81b	SRR10340964	SRR10340964_LB	SRR10340964_PU	ILLUMINA	10x3v2	HNSCC_10
09172b82-c357-4b12-a7b8-ad7e0facc179	SRR10340973	SRR10340973_LB	SRR10340973_PU	ILLUMINA	10x3v2	HNSCC_15
ac7bcc4e-d8b2-4a45-95aa-5764c3984a10	SRR10340950	SRR10340950_LB	SRR10340950_PU	ILLUMINA	10x3v2	HNSCC_3
97beb2a8-cbfb-4eff-85bf-71679f18153f	SRR10340957	SRR10340957_LB	SRR10340957_PU	ILLUMINA	10x3v2	HNSCC_7
b8c3e5f9-787e-438b-bd73-b10c554e3813	SRR10341003	SRR10341003_LB	SRR10341003_PU	ILLUMINA	10x3v2	HD_tonsil1
945b9510-600c-4240-aa9b-f51fa022cac6	SRR10340951	SRR10340951_LB	SRR10340951_PU	ILLUMINA	10x3v2	HNSCC_4
05b3363d-8e96-4285-afb2-8afd35aa6647	SRR10340952	SRR10340952_LB	SRR10340952_PU	ILLUMINA	10x3v2	HNSCC_4
