Subdirectory	RGPU
bac1d2fd-d513-4e6c-bcc3-86cc5bf87ba9	Run0290_AC699YACXX_L5
83aeff0a-7a29-456d-9ff9-3816018b79de	Run0248_AC4D43ACXX_L2
a8bf10cf-637c-4fc2-b04e-8f3b8b28640d	Run0290_AC699YACXX_L5
5af73f5e-d85b-426a-97ee-2158cd0f7843	Run0196_AC23BRACXX_L5
e539c03c-a76b-4db2-be4a-f00e7b2c0efe	Run0253_BC4H6AACXX_L2
38e5ad86-b69f-4c0f-9a62-623444c7ab1a	Run0247_BC4972ACXX_L6
edfcc699-9f0e-4dd5-834e-603e28796663	Run0292_AC699LACXX_L3
1f8b1aa7-1ccd-4224-a797-7f394e4ba95d	Run0256_AC53WMACXX_L8
bedabe16-fbfa-4707-b0d0-431b1bd4f1b9	Run0253_BC4H6AACXX_L4
b429d239-6454-4e1b-b347-dc289fb5481e	Run0221_BC3H8JACXX_L6
8fb78c99-704e-4a84-ae2b-016559f35dd3	Run0223_BC3JDHACXX_L1
0d2336f5-954a-44d9-9bc6-2f1a03ab51ea	Run0247_BC4972ACXX_L4
ad6bfb6a-72e7-4142-abd7-1ae2b210acdd	Run0290_AC699YACXX_L3
c362cec3-8a57-4fcc-90e7-2a03ca7a733d	Run0231_AC3NBVACXX_L8
c7006888-c508-4a08-a0f3-56355530269e	Run0224_AC3JF3ACXX_L4
872c96bc-63b1-4546-9882-7463a8ca406b	Run0208_AC2LDDACXX_L3
49f44f57-ac24-4b87-a3e7-225a570cbb32	Run0224_AC3JF3ACXX_L3
7cb1c6a2-4a4c-4e4b-a610-ce69784b056a	Run0290_AC699YACXX_L5
730c3dea-8b15-436b-abfe-7ec3c82afe42	Run0223_BC3JDHACXX_L1
d8d8ee5c-7b0f-409b-b11d-e7c5df9002ac	Run0253_BC4H6AACXX_L2
ec02993a-3c08-4004-8a7e-1413e2dff000	Run0253_BC4H6AACXX_L7
df028d09-ea3b-4e1a-b95e-0fbeca8d22d3	Run0247_BC4972ACXX_L2
9637b0e7-6908-4c2e-9faa-2d5449177eff	Run0215_BC2NRKACXX_L7
fb48523e-5ca9-42d3-899d-e53ea0f5f493	Run0257_BC53U3ACXX_L6
292a7f42-8a9f-4064-be49-0e0942d18eb6	Run0257_BC53U3ACXX_L7
27749ee7-83ed-4be8-b731-ccd97b051076	Run0253_BC4H6AACXX_L8
f431037a-db25-42d2-a9fd-0c994851f561	Run0256_AC53WMACXX_L8
83f1f895-07a6-465b-adbf-bde2d0ed4443	Run0248_AC4D43ACXX_L6
6841db46-0e06-4864-843b-a2dc05027b53	Run0248_AC4D43ACXX_L7
625d1d89-e6a0-468b-967a-fe6e4a6a4291	Run0229_BC3N7TACXX_L2
110daf99-067d-4f1c-a2e9-fc69fa37cbff	Run0290_AC699YACXX_L2
ec7c4e0b-9006-46d4-bd09-519db7bd46c3	Run0224_AC3JF3ACXX_L3
271e4bc4-07bb-4e74-bdbd-bab0112db9b4	Run0223_BC3JDHACXX_L2
1779b30e-d87d-4918-bf3a-a9f27d92da29	Run0257_BC53U3ACXX_L7
f4c5afa2-6245-4b7c-b2c4-b604cefa7626	Run0343_AC87WGACXX_L5
35a01316-7604-4919-97d3-e65b6ccac10e	Run0256_AC53WMACXX_L8
8d9b135c-2fa1-4677-85f4-b990376468bd	Run0246_AC48UDACXX_L6
2b9145d8-e577-41d6-af8e-0bb9ba5c84be	Run0229_BC3N7TACXX_L2
08e6b02a-50ea-4ff1-98e1-6f2e554667ae	Run0248_AC4D43ACXX_L4
ebd39e66-2903-4bb6-9efe-19ac247903ce	Run0290_AC699YACXX_L2
cbdcc5e6-ae8b-49f7-8fb0-4e44620918ec	Run0253_BC4H6AACXX_L7
14f65964-0813-40c1-aa27-bee7937100f2	Run0253_BC4H6AACXX_L1
983907fa-e73f-401c-9b3f-7d9a49d0d952	Run0231_AC3NBVACXX_L7
22fdce17-8506-47ad-91dd-88cf5b82cc0a	Run0253_BC4H6AACXX_L3
fe180f52-ad2e-45ea-998b-267106631e51	Run0208_AC2LDDACXX_L2
993251a1-fece-4fcc-8f3f-278a2385445c	Run0224_AC3JF3ACXX_L1
616c9afd-d8b1-46f7-8408-0134d09a2e48	Run0246_AC48UDACXX_L4
c2481821-8b38-419e-ac9a-7ca3da1084c1	Run0223_BC3JDHACXX_L1
4ead9f30-b9d3-42bb-9e9d-420878c5b015	Run0290_AC699YACXX_L3
c6141485-3b03-40e9-9f00-e111febceee6	Run0290_AC699YACXX_L2
51bb728e-3991-4e43-bddf-b0688b447274	Run0208_AC2LDDACXX_L2
de3c01f5-9897-424e-9dfc-989904af874d	Run0247_BC4972ACXX_L5
af9fbdc7-6be3-4dba-86f8-a19066e05380	Run0231_AC3NBVACXX_L8
