folder_name	RGID	RGLB	RGPL	RGDS1	RGDS2	RGSM	RGPU
a7c0cdd0-2cc9-43fb-9ad4-4eb1d0f52429	SRR11798465	SRR11798465_LB	ILLUMINA	10X3v2	NextSeq500	DD046_ALI	NB502093:19:HMKMFBGX3:4
2ff04f38-dd9d-4f17-a168-c53d5df9b41e	SRR11798430	SRR11798430_LB	ILLUMINA	10X3v2	NextSeq500	ND17494	NB502093:58:HHTKJBGXB:4
8eb00397-3bd6-4eec-ba88-9754306de691	SRR11798299	SRR11798299_LB	ILLUMINA	10X3v2	NovaSeq6000	cc04p	A00319:14:H7HTLDMXX:1
8e76eab3-db41-4f05-aeda-6a725b3e35c3	SRR11798385	SRR11798385_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:4
cb4fed89-45af-4cb6-9f2b-17495f6ad7e7	SRR11798405	SRR11798405_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:4
a2341aa5-3dcc-48e2-b521-a25989f2bb8f	SRR11798358	SRR11798358_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:1
fb6e152f-d452-4817-b438-b3f65f4fe119	SRR11798314	SRR11798314_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:4
ea286e06-b3ad-426f-b438-f053317efcec	SRR11798413	SRR11798413_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:3
d6e60ff8-2b39-4fca-9224-57485a401782	SRR11798285	SRR11798285_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_34	K00208:YAP064:1
5e89c9ed-86e5-47f9-940d-6df0d65dc790	SRR11798353	SRR11798353_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:4
7c987348-3d1c-4d4f-b665-60f52add0ef9	SRR11798328	SRR11798328_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:14:H7HTLDMXX:2
147643cf-056e-4982-8872-7334158971f9	SRR11798288	SRR11798288_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_37	K00208:YAP064:1
345cb6d5-7590-4a44-9ed3-6273d3fa6fad	SRR11798289	SRR11798289_LB	ILLUMINA	10X3v3	NovaSeq6000	cc01p	A00454:196:HL7W5DMXX:2
82822807-a30e-49f7-9863-b90eb274e1fd	SRR11798303	SRR11798303_LB	ILLUMINA	10X3v2	NovaSeq6000	dd10p	A00284:36:H77CHDSXX:1
6b7a5d71-82af-4ed8-95c0-f316389176ab	SRR11798434	SRR11798434_LB	ILLUMINA	10X3v2	NextSeq500	CF301018	NB502093:35:H32FGBGX5:4
8a485f05-3f79-4010-be1e-15328eb00619	SRR11798404	SRR11798404_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:3
c2c497fd-8e3d-49bb-b120-2fd0aa583a6a	SRR11798378	SRR11798378_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:4
cea4a31b-159f-4d62-a618-fb3bc72e97c0	SRR11798330	SRR11798330_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:14:H7HTLDMXX:2
